ds,y
2012-10-22,7
2012-10-23,23
2012-10-24,20
2012-10-25,15
2012-10-26,16
2012-10-27,14
2012-10-28,7
2012-10-29,2
2012-10-30,8
2012-10-31,13
2012-11-01,16
2012-11-02,11
2012-11-03,4
2012-11-04,4
2012-11-05,9
2012-11-06,19
2012-11-07,17
2012-11-08,11
2012-11-09,6
2012-11-10,4
2012-11-11,3
2012-11-12,5
2012-11-13,12
2012-11-14,17
2012-11-15,17
2012-11-16,12
2012-11-17,7
2012-11-18,2
2012-11-19,14
2012-11-20,4
2012-11-21,7
2012-11-23,3
2012-11-25,6
2012-11-26,9
2012-11-27,9
2012-11-28,10
2012-11-29,17
2012-11-30,5
2012-12-01,1
2012-12-02,5
2012-12-03,8
2012-12-04,13
2012-12-05,11
2012-12-06,10
2012-12-07,6
2012-12-08,3
2012-12-09,4
2012-12-10,6
2012-12-11,8
2012-12-12,25
2012-12-13,11
2012-12-14,6
2012-12-15,3
2012-12-16,3
2012-12-17,6
2012-12-18,13
2012-12-19,18
2012-12-20,14
2012-12-21,4
2012-12-22,4
2012-12-24,1
2012-12-26,7
2012-12-27,10
2012-12-28,12
2012-12-29,2
2012-12-31,12
2013-01-01,2
2013-01-02,8
2013-01-03,12
2013-01-04,17
2013-01-05,3
2013-01-06,4
2013-01-07,7
2013-01-08,9
2013-01-09,11
2013-01-10,11
2013-01-11,10
2013-01-12,6
2013-01-13,3
2013-01-14,6
2013-01-15,11
2013-01-16,12
2013-01-17,9
2013-01-18,12
2013-01-19,1
2013-01-20,2
2013-01-21,9
2013-01-22,13
2013-01-23,11
2013-01-24,13
2013-01-25,14
2013-01-26,6
2013-01-27,8
2013-01-28,11
2013-01-29,6
2013-01-30,9
2013-01-31,13
2013-02-01,11
2013-02-02,5
2013-02-03,4
2013-02-04,7
2013-02-05,16
2013-02-06,10
2013-02-07,15
2013-02-08,16
2013-02-09,2
2013-02-10,2
2013-02-11,27
2013-02-12,27
2013-02-13,15
2013-02-14,13
2013-02-15,10
2013-02-16,11
2013-02-17,8
2013-02-18,11
2013-02-19,25
2013-02-20,29
2013-02-21,25
2013-02-22,18
2013-02-23,3
2013-02-24,7
2013-02-25,13
2013-02-26,21
2013-02-27,10
2013-02-28,7
2013-03-01,4
2013-03-02,5
2013-03-03,4
2013-03-04,21
2013-03-05,20
2013-03-06,17
2013-03-07,14
2013-03-08,13
2013-03-09,11
2013-03-10,5
2013-03-11,16
2013-03-12,20
2013-03-13,27
2013-03-14,17
2013-03-15,6
2013-03-16,2
2013-03-17,4
2013-03-18,16
2013-03-19,9
2013-03-20,20
2013-03-21,15
2013-03-22,8
2013-03-23,6
2013-03-24,3
2013-03-25,22
2013-03-26,18
2013-03-27,20
2013-03-28,14
2013-03-29,14
2013-03-30,4
2013-03-31,3
2013-04-01,18
2013-04-02,20
2013-04-03,17
2013-04-04,9
2013-04-05,10
2013-04-06,7
2013-04-07,2
2013-04-08,13
2013-04-09,23
2013-04-10,43
2013-04-11,7
2013-04-12,13
2013-04-13,6
2013-04-14,3
2013-04-15,11
2013-04-16,22
2013-04-17,15
2013-04-18,11
2013-04-19,12
